20200208,闵行,莘庄,链家优选 沁春园二村 精装全明两房 买进高 税少必看好房,318万,2室1厅 | 75.74平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_2ZQ4uYeWN_1.jpg.296x216.jpg
20200208,闵行,莘庄,莘城公寓 2室2厅 555万必看好房,555万,2室2厅 | 113.64平米 | 南 | 精装 | 低楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_41BXIPZQe_1.jpg.296x216.jpg
20200208,闵行,莘庄,小户型 南北通户型 楼层好位置好 诚意出售看房方便必看好房,330万,1室1厅 | 36.13平米 | 南 | 精装 | 中楼层(共5层) | 1987年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zcqRs4JTU_1.jpg.296x216.jpg
20200208,闵行,莘庄,南北户型，厅南北通透，自住装修，业主诚意出售必看好房,480万,2室2厅 | 93.02平米 | 南 北 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_yfGiuSJt4_1.jpg.296x216.jpg
20200208,闵行,莘庄,两房朝南 采光好 朝北客厅 通风棒 满五唯一 税费少必看好房,273万,2室2厅 | 81.62平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c882f052-ab8f-463a-8166-c301e02095e2.jpg.296x216.jpg
20200208,闵行,莘庄,满五唯一！有使用权车位！接受长期置换，安静社区~必看好房,843万,3室2厅 | 136.96平米 | 南 | 精装 | 高楼层(共4层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/8483870c-0028-4620-a355-c02a516aa969.jpg.296x216.jpg
20200208,闵行,莘庄,莘松  莘松七村 小两房225万 总价低 税费少 诚售必看好房,225万,2室1厅 | 49.31平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,
20200208,闵行,莘庄,链家笋盘黎安二村，小区位置好，一房的价格买两房！必看好房,238万,2室1厅 | 57.59平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/0f1c439d-f0d6-4cda-b51d-69230b80ee4a.png.296x216.jpg
20200208,闵行,莘庄,莘松三村有钥匙随时看房  视野开阔 采光好 客厅带阳台房主自荐,422万,2室1厅 | 65.36平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-97c9c438-51ab-4e99-bef4-3e80a68a7637.jpg.296x216.jpg
20200208,闵行,莘庄,三期大花园，双南户型，看房随时,388万,2室2厅 | 103.98平米 | 南 | 简装 | 低楼层(共14层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6afd2afc-67e1-46f5-8215-8876a3934da3.jpg.296x216.jpg
