20200208,闵行,颛桥,全南户型，采光好，高楼层，视野明亮，适合居住,350万,2室2厅 | 83.68平米 | 南 | 毛坯 | 中楼层(共11层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_FRfxMcP2B_1.jpg.296x216.jpg
20200208,闵行,颛桥,爱庐正气大两房，采光好，户型正气，业主诚意出售,368万,2室2厅 | 84.78平米 | 南 | 精装 | 低楼层(共17层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-17ae62c3-c60d-4aed-a5e9-73fd4a9b20ed.jpg.296x216.jpg
20200208,闵行,颛桥,卫春三街坊 4室2厅 500万,500万,4室2厅 | 151.75平米 | 南 | 其他 | 高楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_P3PkTc7dK_1.jpg.296x216.jpg
20200208,闵行,颛桥,带产权车位，满五唯一，精装修三房，业主诚心出售房主自荐,508万,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6c2ca0d8-eed7-40e7-8767-d5883a47cd25.jpg.296x216.jpg
20200208,闵行,颛桥,房子是满五年唯一，免个人所得税，户型好，采光充足，房主自荐,315万,3室2厅 | 110.12平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ba9d5be7-a61b-4f13-bdaf-9597275eb68d.jpg.296x216.jpg
20200208,闵行,颛桥,地铁次新房  业主诚意出售 24小时看房 业主随时签约房主自荐,510万,2室2厅 | 111.38平米 | 南 | 精装 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d41808b7-bbc2-46ca-afd2-63496f48d60f.jpg.296x216.jpg
20200208,闵行,颛桥,满五，南北格局好，视野宽阔，采光充足，附有大花园,860万,6室3厅 | 180.88平米 | 南 | 精装 | 低楼层(共8层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YsKFYBzqz_1.jpg.296x216.jpg
20200208,闵行,颛桥,户型正气｜厨卫全明｜南北格局｜冬暖夏凉｜看房随时房主自荐,390万,3室1厅 | 100.02平米 | 南 | 简装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9kSA4RTha_1.jpg.296x216.jpg
20200208,闵行,颛桥,屋况保养好，高区采光无忧，出国诚意出售,1710万,4室3厅 | 274.69平米 | 南 | 精装 | 高楼层(共28层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HzgnWiUkw_1.jpg.296x216.jpg
20200208,闵行,颛桥,链家主推二期四房，价格可谈，满二税少，看房有钥匙,1645万,4室2厅 | 274.09平米 | 南 | 精装 | 中楼层(共28层) | 2015年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RVaxcg2xQ_1.jpg.296x216.jpg
20200208,闵行,颛桥,万达旁 纯商品房 2+1正气户型 税费少  一楼 适合老人房主自荐,335万,2室2厅 | 87.26平米 | 南 | 毛坯 | 低楼层(共5层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_QQunEhTOm_1.jpg.296x216.jpg
20200208,闵行,颛桥,银春小区2房 中间4楼，看房方便有钥匙，诚意出售,235万,2室1厅 | 66.9平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-5e1a0277-abee-41ec-8cd9-6efdd2307661.png.296x216.jpg
20200208,闵行,颛桥,此房位于小区中间位置，无遮挡，采光好，金三楼。,350万,2室2厅 | 95.77平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-70ddb7a6-394b-4f02-9031-388c35161477.png.296x216.jpg
20200208,闵行,颛桥,楼层高位 前后无遮挡 采光好 诚意够房子 价格可谈房主自荐,310万,3室2厅 | 99.79平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-79f63a3e-298e-44a4-9201-a518272fcb22.jpg.296x216.jpg
20200208,闵行,颛桥,银桥花园  配套成熟 小区安静 业主诚意房主自荐,293万,3室2厅 | 98.51平米 | 南 北 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b3ea4aa3-982e-405b-af86-520d0b2454d0.jpg.296x216.jpg
20200208,闵行,颛桥,满五年唯一，小区中间位置，带大露台 热门户型。房主自荐,448万,4室2厅 | 108.16平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c0432964-39e8-458d-b001-e104fbb7fe0b.jpg.296x216.jpg
20200208,闵行,颛桥,贵峰苑三房改两房 中间楼层 小区中间位置 不靠路,345万,2室2厅 | 86.96平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-be5e67d3-a03c-4456-b5cf-330dd3b38e96.png.296x216.jpg
