20200208,浦东,外高桥,2009年次新毛坯房，原始格局无改动，看房方便诚心售,390万,3室1厅 | 104.62平米 | 南 | 毛坯 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-49654c4c-4159-4f97-828c-dd36d3d88727.png.296x216.jpg
20200208,浦东,外高桥,朝南户型采光佳，精装婚房拎包住，满五唯一价可谈,224万,3室1厅 | 64.05平米 | 南 | 简装 | 高楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-23a65098-e4cd-4c31-9899-f5ee4ee37c59.png.296x216.jpg
20200208,浦东,外高桥,楼层好，仁恒品质，精装修，看房方便,785万,3室2厅 | 149.92平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b42c011f-59df-4ab8-8351-77e370c4ff43.jpg.296x216.jpg
20200208,浦东,外高桥,临自贸区 地铁站 双南户型 社区成熟 繁华地段价格面议,300万,3室1厅 | 76.84平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b1c8231d-a22f-4cac-8f14-4d0eb09ad358.jpg.296x216.jpg
20200208,浦东,外高桥,满五年唯一+小区央座+精装修+双轨交通+业主急售,265万,3室1厅 | 54.76平米 | 南 | 精装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0dbd79b7-6074-4d36-be81-f1a28ec32df7.jpg.296x216.jpg
20200208,浦东,外高桥,博捷名苑大三房  随时可以看房 价格可谈空间大,585万,3室2厅 | 135.66平米 | 南 | 简装 | 低楼层(共12层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8ae3d5f6-3924-4b5b-abbc-f174d576e111.jpg.296x216.jpg
20200208,浦东,外高桥,链家全程打理，同户型只有这套不靠路，中间楼层5V1,780万,3室2厅 | 147.54平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Kf5TObTQv_1.jpg.296x216.jpg
20200208,浦东,外高桥,高桥繁华地段交通便利，南北两房，中等装修，诚心出售,179万,2室1厅 | 56.05平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0da47d01-a3c7-49ac-bd86-f5acb4bd0a03.jpg.296x216.jpg
20200208,浦东,外高桥,双轨交汇+两房朝南+满五唯一+景观楼层,245万,2室1厅 | 70.86平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-099e72a7-7b24-45e6-9ad3-f1a07b968c5d.jpg.296x216.jpg
20200208,浦东,外高桥,六号线航津站口 精 装 修 拎包入住 产权清晰 无抵押,360万,2室2厅 | 92.29平米 | 西南 | 精装 | 低楼层(共19层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-0fa75d78-f073-41ba-bfe0-3e7a7bdd29cd.jpg.296x216.jpg
20200208,浦东,外高桥,房型正楼层好 南北两房 配套齐全 采光充足,310万,2室2厅 | 76.59平米 | 南 | 简装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d6172d50-d9a3-4a18-9b01-01bedcafd728.png.296x216.jpg
20200208,浦东,外高桥,好楼层 空关两房 随时看房  业主诚意出售,400万,2室2厅 | 92.15平米 | 南 | 简装 | 高楼层(共18层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-f4ab980e-3533-4be6-9c44-b0dac9e91cbe.png.296x216.jpg
20200208,浦东,外高桥,潼港新五村，被忽略的好房~！价格从优诚心出售,260万,2室1厅 | 77.42平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UWmNbm7rI_1.jpg.296x216.jpg
20200208,浦东,外高桥,瑞禾好房源，一楼带花园，带五十平地下室，诚心出售,550万,3室2厅 | 119.37平米 | 南 | 简装 | 低楼层(共16层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a81459f3-1700-44e9-a937-4bf4d06095cf.jpg.296x216.jpg
20200208,浦东,外高桥,房子自住装修户型方正无浪费空间，近6号线港城路站,382万,2室2厅 | 95.32平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-939535b4-d766-46cb-9423-b66932851bed.jpg.296x216.jpg
20200208,浦东,外高桥,满五唯一，舒适三房，格局舒适，价格可以谈 诚心出售,375万,3室2厅 | 101.83平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MWvzeC881_1.jpg.296x216.jpg
20200208,浦东,外高桥,公司产权   资金回笼   税费各付   诚意出售,320万,3室1厅 | 91.85平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2b66dc4a-1a47-4436-9ad2-2b44e5a18b90.jpg.296x216.jpg
20200208,浦东,外高桥,潼港六村 自住装修保养好 全明户型 诚心出售 价格可谈,315万,2室2厅 | 93.05平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_6xPzrFdGN_1.jpg.296x216.jpg
20200208,浦东,外高桥,临自贸区 地铁站 双南户型 一手动迁 税少 看房随时房主自荐,460万,3室2厅 | 122.97平米 | 南 | 毛坯 | 低楼层(共15层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DnSdMT7hX_1.jpg.296x216.jpg
20200208,浦东,外高桥,景观24楼，满五年唯一税少，诚意出售，看房方便急售,350万,2室2厅 | 93.43平米 | 东南 | 简装 | 高楼层(共27层) | 1996年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_fB39iUuIP_1.jpg.296x216.jpg
20200208,浦东,外高桥,笋盘推荐，潼港六村两居室诚心出售，价格可谈,220万,2室1厅 | 66.76平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_bJgDHv2LM_1.jpg.296x216.jpg
