20200208,闵行,静安新城,客厅和卧室朝南 全明户型 楼层佳 满五唯一房主自荐,300万,1室1厅 | 51.38平米 | 南 | 简装 | 低楼层(共7层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-874d5387-5eba-4f72-ab9f-409b8fdb1c92.jpg.296x216.jpg
20200208,闵行,静安新城,中间楼层，全明户型，通风好采光佳，无遮挡，业主城售,360万,2室1厅 | 60.51平米 | 东南 南 | 精装 | 中楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hZh1PhHR7_1.jpg.296x216.jpg
20200208,闵行,静安新城,9号线合川路地铁口200米，中间位置中楼层，满五年唯一房主自荐,352万,2室1厅 | 62.56平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c93d3102-d045-4bac-b249-fdb97b65ce29.jpg.296x216.jpg
20200208,闵行,静安新城,中间层仅一套在售 价格可谈 看房方便,415万,2室1厅 | 77.43平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fa2ae77d-ff69-415c-8a7c-efca220346e9.jpg.296x216.jpg
20200208,闵行,静安新城,顶楼复式，视野开阔带43平露台，满五唯一，行动吧房主自荐,860万,4室2厅 | 171.01平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/35983a9b-6277-4d7b-ab16-3228ec2185e0_1000.jpg.296x216.jpg
20200208,闵行,静安新城,99年品质小区 三房两卫 居家装修可拎包入住 诚意出售,688万,3室2厅 | 120.2平米 | 南 北 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_pUc80kWuh_1.jpg.296x216.jpg
20200208,闵行,静安新城,九歌上郡 3室2厅 1030万,1030万,3室2厅 | 133.52平米 | 南 | 简装 | 高楼层(共12层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BR8DSbxMW_1.jpg.296x216.jpg
20200208,闵行,静安新城,大上海国际花园五区 3室2厅 650万,650万,3室2厅 | 107.26平米 | 南 | 精装 | 中楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ae8f7ad7-1119-4712-81d9-da4174b1f86a_1000.jpg.296x216.jpg
20200208,闵行,静安新城,大上海国际花园九区 3室2厅 750万,750万,3室2厅 | 137.3平米 | 南 | 其他 | 低楼层(共12层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_xgZJ4dFpX_1.jpg.296x216.jpg
20200208,闵行,静安新城,电梯景观楼层，南北通透，交通方便，配套完善环境好,820万,3室2厅 | 114.49平米 | 北 南 | 精装 | 高楼层(共11层) | 2003年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MNQ3tjVTG_1.jpg.296x216.jpg
20200208,闵行,静安新城,08年电梯三房 婚房装修 刷卡入户带入室花园 位置好,980万,3室2厅 | 137.12平米 | 南 | 精装 | 低楼层(共12层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_gNmeNQXRK_1.jpg.296x216.jpg
