20200208,宝山,大场镇,两房两厅 南北两房 电梯房中间楼层房主自荐,399万,2室2厅 | 94.71平米 | 南 | 精装 | 中楼层(共13层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload38177e51-91dc-4e3a-af03-b689b71b2491.jpg.296x216.jpg
20200208,宝山,大场镇,2014年小区 精装修 带车位 全明户型  诚意出售房主自荐,430万,2室2厅 | 83.82平米 | 南 | 精装 | 高楼层(共14层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload25a15441-9219-4197-9f25-c64c9d949106.jpg.296x216.jpg
20200208,宝山,大场镇,此房房型正，满五唯一，视野宽阔，采光充足，配套齐全,191万,1室1厅 | 43平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20171125/71bbf28a-7e33-4249-b1bd-88228e533e3f.jpg.296x216.jpg
20200208,宝山,大场镇,乾和园低层两房，配套齐全，房龄新房主自荐,359万,2室2厅 | 83.16平米 | 南 北 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5d532ced-49c0-4750-9fb9-87bc1d88ab1b.jpg.296x216.jpg
20200208,宝山,大场镇,君邑地中海(公寓) 2室2厅 510万,510万,2室2厅 | 99.49平米 | 南 | 精装 | 中楼层(共18层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/2da94814-50d2-4d2a-bbf5-4a6eb4a6d9a5.jpg.296x216.jpg
20200208,宝山,大场镇,同济城市阳光，南北通 精装两房 拎包入住楼好一梯两户,440万,2室1厅 | 84.79平米 | 南 | 精装 | 中楼层(共14层) | 2014年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170623/523dae3a-d1a3-40c7-a602-e7a0639ca802.jpg.296x216.jpg
20200208,宝山,大场镇,两房朝南，一梯两户 近地铁，场中路地铁口200m，诚售,295万,2室1厅 | 75.7平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/ea616c05-caf4-4e07-b7c3-302815c0b718.jpg.296x216.jpg
20200208,宝山,大场镇,同济城市阳光 3室2厅 550万,550万,3室2厅 | 105.09平米 | 南 北 | 精装 | 低楼层(共14层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_wYH8Ja2ou_1.jpg.296x216.jpg
20200208,宝山,大场镇,聚丰福邸 精致装修下叠花园洋房 户型正气 采光好房主自荐,945万,4室2厅 | 203.11平米 | 南 | 精装 | 低楼层(共1层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/d8bf6b8a-fd51-4761-930a-a41bb42c48f4.jpg.296x216.jpg
20200208,宝山,大场镇,上叠别墅 房龄新 高品质小区 房型正气 视野开阔,710万,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共5层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/1e1af4ea-3ed4-4a6d-ba2b-1e3fa0925010.jpg.296x216.jpg
20200208,宝山,大场镇,招商中环华府18年新建复式别墅，毛坯空置，随时看房,710万,3室2厅 | 112平米 | 南 | 毛坯 | 低楼层(共3层) | 2018年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/472baad6-6a28-460d-a823-93c45f969ac5.jpg.296x216.jpg
20200208,宝山,大场镇,环镇北路500弄，满五唯一，采光充足，配套齐全房主自荐,249万,2室1厅 | 61.09平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/shfdfs-image/20170704/0ebd0629-93f7-4dc1-9930-9a2db9864a91.jpg.296x216.jpg
20200208,宝山,大场镇,2014年次新小区，  电梯两房，开发商精装交房，,550万,3室2厅 | 105.09平米 | 南 | 精装 | 中楼层(共14层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jcKDupiaF_1.jpg.296x216.jpg
20200208,宝山,大场镇,同济城市阳光 2室2厅 550万,550万,2室2厅 | 93.64平米 | 南 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Wf0GT8FqW_1.jpg.296x216.jpg
20200208,宝山,大场镇,低单价 简约而不简单 适合居家 切勿错过,290万,2室1厅 | 78.71平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1b1267b2-1873-4c21-bab1-5fe347466262.jpg.296x216.jpg
20200208,宝山,大场镇,美诗邸，中 央空调带地暖精装，拎包入住，满二有车位,365万,1室1厅 | 66.3平米 | 南 | 精装 | 低楼层(共18层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d6dd0daf-dc88-40d6-accb-4c7c76d792bf.jpg.296x216.jpg
20200208,宝山,大场镇,乾溪新村 2室1厅 254万房主自荐,254万,2室1厅 | 64.19平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8OilU7Sib_1.jpg.296x216.jpg
20200208,宝山,大场镇,祥泰苑 3室2厅 475万,475万,3室2厅 | 115.68平米 | 南 北 | 简装 | 低楼层(共5层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_9C0fBTBdu_1.jpg.296x216.jpg
20200208,宝山,大场镇,上大阳光乾和园 3室2厅 520万房主自荐,520万,3室2厅 | 120.94平米 | 南 | 精装 | 中楼层(共11层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_UdsQjGlPg_1.jpg.296x216.jpg
20200208,宝山,大场镇,房东置换 诚意售房 满五唯一 现寻找有缘人 机会难得房主自荐,285万,2室1厅 | 72.24平米 | 南 北 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f775b600-1164-413d-aa44-ea9e8cea1e45.jpg.296x216.jpg
20200208,宝山,大场镇,乾溪新村 1室0厅 130万房主自荐,130万,1室0厅 | 29.67平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7dbacb0f-dee3-4997-8263-8734dc0cc090.jpg.296x216.jpg
