20200208,闵行,春申,精装修三房，小区中，央，业主诚意出售，随时可以看房主自荐,770万,3室2厅 | 131.95平米 | 南 北 | 精装 | 中楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d3887342-9dc9-418f-be4e-96f483e5ba30.png.296x216.jpg
20200208,闵行,春申,春城大三房南北直通 税费少 小区中间位置 诚意出售房主自荐,768万,3室2厅 | 126.08平米 | 南 | 精装 | 高楼层(共9层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-4acf3485-01d7-44b6-b22d-fd90e5bd0e79.png.296x216.jpg
20200208,闵行,春申,一梯两户 南北通透两房   采光好  通风好 免增值税房主自荐,228万,2室1厅 | 62.11平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_de3eWQRdb_1.jpg.296x216.jpg
20200208,闵行,春申,笋盘推荐；南北精装三房，位置安静，拎包入住。房主自荐,940万,3室2厅 | 143平米 | 南 | 精装 | 低楼层(共30层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c96b28a1-212e-470f-a8a6-02c6c599dcd7.jpg.296x216.jpg
20200208,闵行,春申,有学+动迁税少+满五年唯一+高层低价好房房主自荐,335万,2室1厅 | 69.5平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d73970c6-98f0-4428-9042-702f05972b6f.jpg.296x216.jpg
20200208,闵行,春申,南北双阳台 户型通透 居中位置  视野开阔  看房随时房主自荐,327万,2室2厅 | 82.6平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Efa5LkLPv_1.jpg.296x216.jpg
20200208,闵行,春申,边套全明，居家两室，小区门口大润发班车,323万,2室1厅 | 70.85平米 | 南 | 精装 | 低楼层(共10层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dsAuGbxra_1.jpg.296x216.jpg
20200208,闵行,春申,带超大阳台！露台！储藏室！中间位置，前后无遮挡！！,576万,3室2厅 | 130.58平米 | 南 | 简装 | 低楼层(共11层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_BHbihFlbo_1.jpg.296x216.jpg
20200208,闵行,春申,好楼层，户型方正，满五税少，总价低房主自荐,295万,1室1厅 | 50.79平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-305e82af-4679-486b-906d-e1f9f17ca9f3.jpg.296x216.jpg
20200208,闵行,春申,银泰苑新增三房房东诚意出售看房提前约房主自荐,450万,3室2厅 | 121.46平米 | 南 | 毛坯 | 低楼层(共9层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1ZAxUhyGU_1.jpg.296x216.jpg
