20200208,宝山,共康,双南双天井，一号线通河站，居家自主随时看房房主自荐,285万,2室1厅 | 63.39平米 | 南 北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_r0T5YVuuc_1.jpg.296x216.jpg
20200208,宝山,共康,共康六村 1室1厅 230万,230万,1室1厅 | 51.88平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_b6MCglA4F_1.jpg.296x216.jpg
20200208,宝山,共康,园林小区，近地铁，楼层好，采光佳,550万,2室2厅 | 99.19平米 | 南 | 简装 | 高楼层(共16层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IVIvL1RVU_1.jpg.296x216.jpg
20200208,宝山,共康,1楼的价格，6楼的采光！无遮挡！自带花园~,425万,2室2厅 | 85.36平米 | 南 北 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_p5qKlYar3.jpg.296x216.jpg
20200208,宝山,共康,共康六村 2室1厅 300万,300万,2室1厅 | 68.04平米 | 南 | 其他 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CmRkXRdrk_1.jpg.296x216.jpg
20200208,宝山,共康,满五唯一 动迁房 中间楼层  交通便利 随时看房,210万,1室1厅 | 46.97平米 | 南 | 毛坯 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/da4a6801-ee7b-42d0-b694-983d8e65e301_1000.jpg.296x216.jpg
20200208,宝山,共康,飞机户型正气+满五少税费+精装+楼层好+共康路地铁站,800万,3室2厅 | 135.96平米 | 南 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1da5f6b6-c468-4dec-9b08-a69ff32a6f12.jpg.296x216.jpg
20200208,宝山,共康,优先推荐，看房方便，大户型，南边通透，采光无遮挡,910万,4室2厅 | 169.33平米 | 南 | 精装 | 低楼层(共17层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-deb07ef3-bab2-4ecf-957a-b4cd4c3d15e1.jpg.296x216.jpg
20200208,宝山,共康,售后公房 满五唯一 税费少  离地铁一号线近,255万,2室1厅 | 66.67平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c18d6341-3166-4c51-824a-9acc9f7fc8e2.jpg.296x216.jpg
20200208,宝山,共康,馨康苑 2室2厅 598万,598万,2室2厅 | 101.41平米 | 南 | 简装 | 低楼层(共10层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-223d9de3-8a29-4dca-8eb3-34d77e332924.jpg.296x216.jpg
20200208,宝山,共康,边套全明小三房，采光好，满五唯一税费少,330万,3室1厅 | 74.54平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ZFeqAcByd_1.jpg.296x216.jpg
20200208,宝山,共康,小七村(共康公寓)大1房  业主诚意 近地铁1号线共康路,245万,1室1厅 | 54.13平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e819ca4a-e238-4154-8e1a-d56b44339739.jpg.296x216.jpg
20200208,宝山,共康,满二少税+户型边套带窗全明+精装+近通河新村站,235万,1室1厅 | 54.91平米 | 南 北 | 精装 | 高楼层(共7层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_m9m3BMSYN.jpg.296x216.jpg
20200208,宝山,共康,九英里 2室2厅 530万,530万,2室2厅 | 98.7平米 | 南 | 精装 | 高楼层(共12层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_aux7Kikiy_1.jpg.296x216.jpg
20200208,宝山,共康,Lianjia.全明+满五唯一+ 采光好+近通河新村+诚意出售,239万,1室1厅 | 53.6平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ggfuqfTk7_1.jpg.296x216.jpg
20200208,宝山,共康,南北通房源，精装修，拎包即住，楼层好,435万,2室2厅 | 82.19平米 | 南 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_I1svd131H.jpg.296x216.jpg
20200208,宝山,共康,共康八村，一房一厅，总价低，面积大。,210万,1室1厅 | 51.25平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bf307d21-310a-4fde-8aa0-91513510ceee.jpg.296x216.jpg
20200208,宝山,共康,中间楼层 ＋一梯两户 ＋诚意出售,225万,1室1厅 | 51.59平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b62abe6c-ff99-43b0-9f12-f5b682217a69.jpg.296x216.jpg
20200208,宝山,共康,满五无抵押，南北直通婚房装修，采光无遮挡，看房方便房主自荐,570万,2室2厅 | 101.99平米 | 南 北 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5dea8558-955f-4b62-b646-c62cb462a221.jpg.296x216.jpg
20200208,宝山,共康,全明户型一梯两户 两室朝南厨卫朝北 宝山万达共康路站,340万,2室1厅 | 73.4平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-8e5b5456-731f-4fbf-8e61-29304c0c659e.jpg.296x216.jpg
20200208,宝山,共康,近地铁一号线通河站，双南两房采光好,310万,2室1厅 | 68.81平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a995f4eb-591e-4100-a3fe-98a395d352a1.jpg.296x216.jpg
20200208,宝山,共康,共康公寓 3室2厅 670万,670万,3室2厅 | 121.35平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3183d552-7503-49ef-b4f6-91edf3ba838a.jpg.296x216.jpg
