20200208,宝山,淞宝,全明三房 两厅 带阁楼 采光好到价签字,450万,3室2厅 | 99.99平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c30cf4b7-6762-4ced-a280-0574f1fa7601.jpg.296x216.jpg
20200208,宝山,淞宝,密山二村，低楼层1室户+满五年+看房方便+诚心出售,143万,1室1厅 | 33.92平米 | 南 | 简装 | 低楼层(共6层) | 1983年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ed71ecf7-7eca-431f-ad82-d2ec8e09e02c.jpg.296x216.jpg
20200208,宝山,淞宝,看房联系董霄昆 3楼 满五一 西块 业主诚意出售总价低,153万,1室1厅 | 34.01平米 | 南 | 其他 | 中楼层(共6层) | 1984年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1La2nN2Aq.jpg.296x216.jpg
20200208,宝山,淞宝,宝钢九村 双南两房 格局方正 近地铁 带电梯 阳光充足,295万,2室1厅 | 81.58平米 | 南 | 毛坯 | 低楼层(共13层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-7aeb7fb2-25a4-4d28-88fb-80989a34f6f6.jpg.296x216.jpg
20200208,宝山,淞宝,小区位置佳，带露台，户型正气，采光好，配套齐全,575万,3室2厅 | 118.48平米 | 南 北 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-30ffe95a-95e1-4acb-b2c4-21028427dc45.jpg.296x216.jpg
20200208,宝山,淞宝,永清新村 南向一居室 满五年  诚意出售,148万,1室1厅 | 43.4平米 | 南 北 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2a8f2e13-8e1f-4c6c-afd7-6c0a7249784f.jpg.296x216.jpg
20200208,宝山,淞宝,永清新村 非顶层 诚意出售 满五唯一,158万,1室1厅 | 43.4平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-52e2b543-1edf-4131-acea-8b963cfde148.jpg.296x216.jpg
20200208,宝山,淞宝,宝山一村 低总价 双南户型 临天然氧吧 湿地公园,235万,2室1厅 | 62.98平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-758b09da-7632-4bc7-aa1e-935439e82b25.png.296x216.jpg
20200208,宝山,淞宝,经典户型   满五年    采光充足  小区中间位置,158万,1室1厅 | 41.42平米 | 南 | 毛坯 | 中楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b2d41747-e703-4505-b66e-99ab67431649.jpg.296x216.jpg
20200208,宝山,淞宝,满五唯一，售后公房，两房一楼，方便看房，交通便利,237万,2室1厅 | 58.92平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e3b8c42d-b651-4d86-9a32-80febab5e1e1.jpg.296x216.jpg
