20200208,闵行,老闵行,南北格局，三房，看房随时，总高6楼的5楼。不是顶楼！,310万,3室2厅 | 85.6平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b6e42836-0b7a-43f4-bfd3-0ddeeafabc24.jpg.296x216.jpg
20200208,闵行,老闵行,合生城邦三街坊精装大两房带双院子，这就是你的家！房主自荐,390万,2室2厅 | 108.28平米 | 南 | 精装 | 低楼层(共11层) | 2006年建 | 暂无数据,https://image1.ljcdn.com/310000-inspection/prod-084b8419-b895-44dd-9645-73317aa4eb81.jpg.296x216.jpg
20200208,闵行,老闵行,鹤北新村二街坊 3室2厅 460万,460万,3室2厅 | 130.2平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0a05ef18-05db-4fd6-9af5-eb08dcd46ea8.jpg.296x216.jpg
20200208,闵行,老闵行,轨交旁小三室+一梯两户三房朝南+采光好+看房方便房主自荐,235万,3室1厅 | 79.34平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-eb14672b-8a4b-4b96-8b7d-46939e41089a.jpg.296x216.jpg
20200208,闵行,老闵行,夏朵园 精装大两房+采光好位置佳+随时入住房主自荐,329万,2室2厅 | 102.92平米 | 南 | 精装 | 中楼层(共14层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5a6a66f6-b87e-4073-8fe0-535872276c63.jpg.296x216.jpg
20200208,闵行,老闵行,景观房 繁华路段 配套成熟 业主诚心卖,240万,2室2厅 | 92.26平米 | 北 | 精装 | 高楼层(共24层) | 1997年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-a2cad642-5db2-42c1-838f-16789783a12b.jpg.296x216.jpg
20200208,闵行,老闵行,房东看好房子了，诚意出售近地铁，满5年............,353万,2室2厅 | 88.11平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-4dbe9b4a-eba8-4280-9536-c663c4e0f035.png.296x216.jpg
20200208,闵行,老闵行,南北通透双阳台 3楼好楼层 一年装修 看房方便,285万,2室1厅 | 82.12平米 | 南 北 | 精装 | 中楼层(共6层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_D6ZE1Dv3w_1.jpg.296x216.jpg
20200208,闵行,老闵行,华银坊 2室2厅 310万,310万,2室2厅 | 83.49平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_MoVBCH4sO_1.jpg.296x216.jpg
20200208,闵行,老闵行,满五唯一无个税，采光好，边套全明，业主诚心卖房主自荐,155万,2室1厅 | 59.89平米 | 东南 | 毛坯 | 高楼层(共6层) | 1989年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_qqF38AZD1_1.jpg.296x216.jpg
