20200208,徐汇,上海南站,六楼南北两房，满五年唯一诚意卖房主自荐,240万,2室0厅 | 50.1平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-0afdd743-b872-482d-b663-9c65cc5ae47b.jpg.296x216.jpg
20200208,徐汇,上海南站,光华园 2室1厅 605万,605万,2室1厅 | 74.62平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_i2oEDI7LL_1.jpg.296x216.jpg
20200208,徐汇,上海南站,正气两房精装修，业主诚意出售，满五唯一,420万,2室1厅 | 75.6平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_b27t9M6k9_1.jpg.296x216.jpg
20200208,徐汇,上海南站,汇成一村 2室1厅 315万,315万,2室1厅 | 60.7平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_kaeX4GSA8_1.jpg.296x216.jpg
20200208,徐汇,上海南站,南北两房+位置佳+河景房+业主诚心出售,365万,2室1厅 | 71.45平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Pk17GCsZr_1.jpg.296x216.jpg
20200208,徐汇,上海南站,链家真房源，假一赔百！！！看房方便,175万,1室0厅 | 34.1平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ec7c6b5d-d687-4d54-adc4-115faeb88178.jpg.296x216.jpg
20200208,徐汇,上海南站,售后公房税费少，房子位置好，房东诚心卖，价格好商量,477万,1室1厅 | 54.84平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-d6805634-5b6e-447e-92d8-dca6f33f7cda.jpg.296x216.jpg
20200208,徐汇,上海南站,小户型总价低一室户+清爽装修+诚意出售+看房方便,185万,1室1厅 | 33.3平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9cc4a634-d0e0-49a1-b004-3dbbd6747b9c.jpg.296x216.jpg
20200208,徐汇,上海南站,钥匙房+业主诚心出售+中间楼层+户型南北通,230万,1室1厅 | 42.89平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-7cff4204-d0a6-4f39-9337-e13633440686.png.296x216.jpg
20200208,徐汇,上海南站,中间楼层西边套，业主诚心出售，居住环境好,360万,2室0厅 | 59.3平米 | 南 北 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-5bd0a06c-848d-46f6-b63b-9672309dd484.jpg.296x216.jpg
