20200208,徐汇,华东理工,小区位置好，双南户型，中间楼层，采光充足视野开阔。,325万,2室1厅 | 63.13平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-bf146538-f48b-4257-8567-4dd42d801784.jpg.296x216.jpg
20200208,徐汇,华东理工,板式户型，客厅朝南带阳台，厨卫朝北南北通明亮户型,1000万,3室2厅 | 135.47平米 | 南 北 | 简装 | 高楼层(共13层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-e805b541-2486-42e5-b3a9-046ff03ea246.jpg.296x216.jpg
20200208,徐汇,华东理工,满五年唯一 中间位置  自住装修 看房方便房主自荐,1170万,4室2厅 | 182.02平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1fc26b64-6818-4c78-aecb-72990d036c13.jpg.296x216.jpg
20200208,徐汇,华东理工,一楼带天井 全明户型 居住舒适,207万,1室0厅 | 38.44平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a70568b7-88cf-4690-8391-acbedf7edd32.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇五村，高层房的中区，采光充足，正气通透户型房主自荐,370万,2室1厅 | 79.56平米 | 南 | 简装 | 低楼层(共18层) | 1995年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-c5021f10-b5c4-42a9-b223-b1605917fb34.jpg.296x216.jpg
20200208,徐汇,华东理工,中间楼层 视野开阔 采光充足 配套设施齐全,500万,3室1厅 | 107.55平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3e4f9956-0ba7-4142-873f-c0e26e7c50d5.jpg.296x216.jpg
20200208,徐汇,华东理工,中间楼层的双南户型 小区中间位置,295万,2室1厅 | 57.27平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-25529770-42b2-45b9-8913-edb5de492568.png.296x216.jpg
20200208,徐汇,华东理工,边套全明户型 双南2房 满五唯一 减轻购房负担,280万,2室1厅 | 52.55平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b9ea59c1-da23-4c7b-b0dd-c3ab07dd8cbf.jpg.296x216.jpg
20200208,徐汇,华东理工,小区位置好，采光好，近地铁 ，满五唯一房主自荐,347万,2室1厅 | 69.51平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-923fbc8c-9377-435e-b420-d89fc7cede91.jpg.296x216.jpg
20200208,徐汇,华东理工,底楼二房，售后公房，配套齐全，交通方便房主自荐,269万,2室1厅 | 53.89平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-40ca96c9-8f2c-4a0c-9360-c43b044d51a7.jpg.296x216.jpg
20200208,徐汇,华东理工,凌云新村热卖户型，6楼，全新精装修，业主诚意出售房主自荐,249万,1室1厅 | 49.07平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-53760f78-a757-406f-87ce-26fa19b9e548.jpg.296x216.jpg
20200208,徐汇,华东理工,五楼，满五唯一，东边套，全明户型,203万,1室1厅 | 39.27平米 | 东 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-223c070e-ef13-409c-bf30-706b04426e5e.jpg.296x216.jpg
20200208,徐汇,华东理工,5楼的小两房 链家优推房源 南北通风+采光好  售后公房,288万,2室1厅 | 60平米 | 南 北 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-86e63c80-cc6d-4493-a69c-c5a947a964f7.jpg.296x216.jpg
20200208,徐汇,华东理工,南北通透板式三房 车位充足 交通方便  满五唯一,819万,3室2厅 | 126.73平米 | 南 西 北 | 简装 | 低楼层(共17层) | 2006年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-2bbf7e7b-ac2a-4076-a06c-19bc41ec7525.jpg.296x216.jpg
20200208,徐汇,华东理工,交通便利医院旁，成熟小区配套齐全，生活便利 有钥匙,505万,2室1厅 | 90.82平米 | 南 | 精装 | 20层 | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/prod-7e9a43fb-d607-4f17-8cd9-166cc0eb63d8.jpg.296x216.jpg
20200208,徐汇,华东理工,梅陇九村 南北2房1厅  看房随时有钥匙房主自荐,262万,2室1厅 | 54.5平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_fedO1n7U3_1.jpg.296x216.jpg
20200208,徐汇,华东理工,本房首付不高，适合小两口居住，南北朝向 随时可看,315万,2室1厅 | 64.77平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-08e8355e-cee4-489f-a63f-50313b8b6e18.jpg.296x216.jpg
20200208,徐汇,华东理工,房子满五唯一，客厅带窗。房东诚心置换 。,190万,1室1厅 | 43.33平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-09179f65-3abb-4423-81c5-e63420284b00.jpg.296x216.jpg
20200208,徐汇,华东理工,小区位置好，事业开阔，采光充足，配套设施齐全房主自荐,200万,1室1厅 | 41.07平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-ae559739-c3f6-436c-9afe-629ca9f38cb2.jpg.296x216.jpg
20200208,徐汇,华东理工,满二唯一 双南两房 大客厅  居住舒适,402万,2室1厅 | 79.24平米 | 南 | 毛坯 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-1cc26771-a3c5-46f6-a750-86b87ea18787.jpg.296x216.jpg
20200208,徐汇,华东理工,凌云新村 正气一房 满五唯一 税费少,240万,1室1厅 | 49.07平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-cf68bf71-ea7e-4c86-bc16-2e4463dd8d6b.jpg.296x216.jpg
20200208,徐汇,华东理工,松风双南两房，全面户型格局好，配套齐全，诚心出售房主自荐,508万,2室1厅 | 90.82平米 | 南 | 精装 | 20层 | 1999年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/test-533b1195-2d0f-4723-af91-372ec6fd5957.png.296x216.jpg
20200208,徐汇,华东理工,此房满五不唯一 税费少 家具家电全部不带走 全明户型房主自荐,199万,1室1厅 | 44平米 | 南 | 简装 | 高楼层(共6层) | 1992年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-78215d3e-3cd2-4e8f-942a-fa56d68bdae5.jpg.296x216.jpg
