district,town_name,description,listed_price,layout,total_area,direction,decoration_rate,stairs,built_year,building_type,rooms,living_rooms,floor_height,total_floors,m5w1,near_facilities,historical,log_price,binned_total_floors,living_room_ratio
minhang,laominhang,轨交旁小三室+一梯两户三房朝南+采光好+看房方便房主自荐,235.0,3室1厅 ,79.34, 南 , 简装 ,高楼层(共6层),1994-01-01, 板楼,3,1,高,6,不满五,False,False,5.459585514144159,low,0.3333333333333333
pudong,sanlin,诚意出售 满五唯一 一年只出来一套 方便看房主自荐,555.0,2室2厅 ,90.75, 南 北 , 精装 ,低楼层(共14层),2009-01-01, 板楼,2,2,低,14,满五唯一,False,False,6.318968113746434,low,1.0
pudong,lingangxincheng,临港新片区，标准户型三房，南北通风，带产权车位，必看好房,315.0,3室2厅 ,89.3, 南 , 精装 ,高楼层(共4层),2012-01-01, 板楼,3,2,高,4,不满五,False,False,5.752572638825633,low,0.6666666666666666
pudong,geqing,商品房高区楼层，视野开阔采光充足，随时看房拎包入住,410.0,2室2厅 ,89.18, 南 , 精装 ,高楼层(共16层),2015-01-01, 板楼,2,2,高,16,不满五,False,False,6.016157159698354,low,1.0
pudong,jinyang,致远，三轨房，国际社区旁，钥匙随时看房！,450.0,3室1厅 ,93.48, 南 , 简装 ,低楼层(共24层),1996-01-01, 塔楼,3,1,低,24,不满五,False,False,6.1092475827643655,high,0.3333333333333333
baoshan,yuepu,满五年，采光好，格局好，业主诚心出售必看好房,125.0,1室1厅 ,39.61, 南 , 简装 ,低楼层(共6层),1985-01-01, 板楼,1,1,低,6,满五不唯一,False,False,4.8283137373023015,low,1.0
baoshan,songnan,双南两房 户型正气 采光好 出入方便 配套齐全,253.0,2室1厅 ,63.88, 南 , 简装 ,高楼层(共6层),1996-01-01, 板楼,2,1,高,6,不满五,False,False,5.53338948872752,low,0.5
pudong,jinqiao,南北通透户型，景观楼层，一手动迁少税，看房随时,550.0,2室2厅 ,88.89, 南 北 , 毛坯 ,高楼层(共14层),2011-01-01, 板楼,2,2,高,14,不满五,False,False,6.309918278226516,low,1.0
minhang,meilong,五村园中园 两厅奢华装修 MID位置 必看好房 园中园房主自荐,528.0,2室2厅 ,114.38, 南 , 精装 ,中楼层(共6层),1999-01-01, 板楼,2,2,中,6,不满五,False,False,6.269096283706261,low,1.0
minhang,gumei,四开间朝南复式 带南北露台 小区仅此一套 业主诚售房主自荐,725.0,4室2厅 ,146.22, 南 北 , 简装 ,高楼层(共6层),1998-01-01, 板楼,4,2,高,6,不满五,False,False,6.586171654854675,low,0.5
pudong,nanmatou,一楼南北户型+采光通风好+交通便利+采光通风,206.0,1室1厅 ,37.15, 南 , 精装 ,低楼层(共6层),1987-01-01, 板楼,1,1,低,6,不满五,False,False,5.327876168789581,low,1.0
pudong,lujiazui,江景视野好  屋况保养好 业主诚意出售,4500.0,4室2厅 ,337.3, 南 , 精装 ,低楼层(共39层),2006-01-01, 板楼,4,2,低,39,不满五,False,False,8.411832675758411,high,0.5
pudong,jinqiao,寿光小区   双南户型   婚房装修  看房随时  诚意出售必看好房,295.0,2室1厅 ,69.2, 南 , 精装 ,中楼层(共5层),1994-01-01, 板楼,2,1,中,5,不满五,False,False,5.68697535633982,low,0.5
pudong,yangjing,满五且唯一。产权清晰没有贷款没有抵押，欢迎看房。,900.0,3室2厅 ,128.98, 南 北 , 简装 ,低楼层(共11层),2001-01-01, 板楼,3,2,低,11,满五不唯一,False,False,6.802394763324311,low,0.6666666666666666
pudong,yangjing,双南全明户型  位置安静   使用率高,330.0,2室1厅 ,58.05, 南 , 简装 ,高楼层(共6层),1988-01-01, 板楼,2,1,高,6,不满五,False,False,5.799092654460526,low,0.5
pudong,tangqiao,高区视野开阔丨房型正气户型方正丨配套完善交通便利,1180.0,3室2厅 ,141.68, 南 , 精装 ,高楼层(共27层),2003-01-01, 板楼,3,2,高,27,不满五,False,False,7.07326971745971,high,0.6666666666666666
minhang,zhuanqiao,万顺水原墅(公寓) 5室2厅 1230万,1230.0,5室2厅 ,298.26, 南 , 其他 ,低楼层(共3层),2012-01-01, 板楼,5,2,低,3,不满五,False,False,7.114769448366463,very low,0.4
baoshan,gongfu,富都园04年次新房+精装4房+视野开阔+实用面积大+满五房主自荐,490.0,4室2厅 ,137.73, 南 , 精装 ,高楼层(共6层),2004-01-01, 板楼,4,2,高,6,满五不唯一,False,False,6.194405391104672,low,0.5
baoshan,gongkang,共康八村 中间楼层 户型方正 满五唯一 房东诚意出售,310.0,2室1厅 ,75.82, 南 北 , 简装 ,中楼层(共6层),1995-01-01, 板楼,2,1,中,6,满五唯一,False,False,5.736572297479192,low,0.5
minhang,meilong,南北小两房  楼层好 交通便利 位置安静,252.0,2室1厅 ,55.78, 南 , 简装 ,中楼层(共6层),1988-01-01, 板楼,2,1,中,6,不满五,False,False,5.529429087511423,low,0.5
pudong,yuqiao1,聚焦房源 开发商统一装修 景观楼栋楼层 诚意出售,349.0,1室1厅 ,67.91, 南 , 精装 ,低楼层(共14层),2010-01-01, 板楼,1,1,低,14,不满五,False,False,5.855071922202427,low,1.0
pudong,huinan,精装修，全明户型，满五唯一税费少，配套齐全,320.0,3室2厅 ,128.81, 南 , 精装 ,高楼层(共6层),2001-01-01, 板楼,3,2,高,6,满五唯一,False,False,5.768320995793772,low,0.6666666666666666
minhang,hanghua,此房满五年唯一， 刚需大一房，楼层位置佳。,298.0,1室1厅 ,63.0, 南 , 简装 ,中楼层(共6层),1995-01-01, 板楼,1,1,中,6,满五不唯一,False,False,5.697093486505405,low,1.0
pudong,kangqiao,此房南北通透，生活配套齐，自住精装修，诚意卖,455.0,2室2厅 ,98.34, 南 北 , 精装 ,低楼层(共14层),2008-01-01, 板楼,2,2,低,14,不满五,False,False,6.12029741895095,low,1.0
jiading,shangda,上大路旁，轨交线上，小区中间位置正气三房，人文社区必看好房,550.0,3室2厅 ,121.74, 南 北 , 精装 ,中楼层(共6层),2006-01-01, 板楼,3,2,中,6,不满五,False,False,6.309918278226516,low,0.6666666666666666
pudong,gaohang,精装修 业主自住 采光好 视野开阔,210.0,1室1厅 ,48.24, 南 , 简装 ,高楼层(共7层),1995-01-01, 板楼,1,1,高,7,不满五,False,False,5.3471075307174685,low,1.0
pudong,weifang,精装大三房 诚心出售，看房方便，采光极好！！！,588.0,3室1厅 ,74.56, 南 , 精装 ,高楼层(共6层),1986-01-01, 板楼,3,1,高,6,不满五,False,False,6.376726947898627,low,0.3333333333333333
pudong,jinqiao,好房 满五唯一非顶楼 超人气户型 经典两室户,336.0,2室1厅 ,60.5, 南 , 简装 ,高楼层(共6层),1994-01-01, 板楼,2,1,高,6,满五唯一,False,False,5.817111159963204,low,0.5
xuhui,huajing,满五，无增值税，无个税，一楼带天井,201.0,1室1厅 ,41.03, 南 , 毛坯 ,低楼层(共6层),1996-01-01, 板楼,1,1,低,6,满五不唯一,False,False,5.303304908059076,low,1.0
pudong,nanmatou,电梯高区南北通 景观房看陆家嘴和前滩 两房带车位,740.0,2室2厅 ,106.85, 南 , 简装 ,高楼层(共18层),2004-01-01, 板楼,2,2,高,18,不满五,False,False,6.606650186198215,low,1.0
